categoria;subcategoria;prestacion;tipo_prestacion;fecha_ingreso;hora_ingreso;domicilio_comuna;domicilio_barrio;domiclio_calle;domicilio_altura;lat;lon;canal;genero;estado_del_contacto;fecha_cierre_contacto;hora_cierre_contacto
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;05/01/2021;9:50:29;15;PATERNAL;ESPINOSA;2124;-3,46E+14;-5,85E+14;App BA 147;Masculino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;;HIGIENIZACIÓN, DESRATIZACIÓN, SANEAMIENTO DE TERRENO BALDÍO/CASA ABANDONADA;SOLICITUD;05/01/2021;9:59:52;11;VILLA DEVOTO;NAVARRO;4665;-3,46E+14;-5,85E+14;App BA 147;Masculino;Cerrado;23/03/2021;8:48:27
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;04/01/2021;15:45:26;12;SAAVEDRA;LARRALDE, CRISOLOGO AV.;4500;-3,46E+14;-5,85E+14;App BA 147;Femenino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;05/01/2021;16:40:51;13;BELGRANO;BARILARI, ATILIO S., ALTE.;1318;-3,46E+14;-5,85E+14;GCS Web;Femenino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;05/01/2021;12:10:24;14;PALERMO;BONPLAND;2064;-3,46E+14;-5,84E+14;App BA 147;Femenino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;06/01/2021;10:33:45;14;PALERMO;HUMBOLDT;1835;-3,46E+13;-5,84E+14;GCS Web;Femenino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;05/01/2021;23:44:52;6;CABALLITO;EL MAESTRO;176;-3,46E+14;-5,84E+14;GCS Web;Femenino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;05/01/2021;20:12:41;7;FLORES;CULPINA;395;-3,46E+13;-5,85E+14;App BA 147;Femenino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;05/01/2021;21:37:01;1;SAN NICOLAS;SUIPACHA;689;-3,46E+13;-5,84E+14;GCS Web;Masculino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;05/01/2021;19:12:15;12;VILLA PUEYRREDON;ESTADO PLURINACIONAL DE BOLIVIA;;-3,46E+14;-5,85E+14;GCS Web;Femenino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;05/01/2021;10:28:46;12;VILLA URQUIZA;BARZANA;2175;-3,46E+14;-5,85E+14;App BA 147;Femenino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;06/01/2021;7:20:34;9;MATADEROS;COSQUIN;2239;-3,47E+14;-5,85E+14;App BA 147;Masculino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;06/01/2021;10:57:00;12;VILLA PUEYRREDON;CUENCA;4922;-3,46E+13;-5,85E+13;GCS Web;Femenino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;05/01/2021;22:03:57;10;FLORESTA;CAMARONES;4050;-3,46E+14;-5,85E+14;GCS Web;Masculino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;;HIGIENIZACIÓN, DESRATIZACIÓN, SANEAMIENTO DE TERRENO BALDÍO/CASA ABANDONADA;SOLICITUD;05/01/2021;12:17:34;12;VILLA PUEYRREDON;MOSCONI GENERAL AV.;2252;-3,46E+14;-5,85E+14;GCS Web;Masculino;Cerrado;06/01/2021;10:10:17
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;06/01/2021;9:58:32;11;VILLA SANTA RITA;HELGUERA;1652;-3,46E+14;-5,85E+14;GCS Web;Femenino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;06/01/2021;4:33:35;4;BOCA;VALLE, ARISTOBULO DEL;500;-3,46E+13;-5,84E+14;App BA 147;Femenino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;06/01/2021;16:15:42;8;VILLA LUGANO;SOLDADO DE LA FRONTERA AV.;5113;-3,47E+14;-5,85E+14;GCS Web;Masculino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;06/01/2021;17:32:59;5;ALMAGRO;RIVADAVIA AV.;4495;-3,46E+14;-5,84E+14;App BA 147;Femenino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;07/01/2021;8:30:32;10;FLORESTA;TACUARA;1450;-3,46E+13;-5,85E+14;GCS Web;Femenino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;06/01/2021;19:37:47;4;PARQUE PATRICIOS;BRASIL;2180;-3,46E+14;-5,84E+14;GCS Web;Masculino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;07/01/2021;16:34:59;12;SAAVEDRA;MANZANARES;3435;-3,46E+14;-5,85E+14;GCS Web;Femenino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;06/01/2021;14:15:23;10;VERSALLES;MIRANDA;5981;-3,46E+14;-5,85E+14;App BA 147;Femenino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;06/01/2021;16:35:38;11;VILLA DEL PARQUE;NAZARRE;3879;-3,46E+14;-5,85E+14;GCS Web;Femenino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;05/01/2021;22:29:47;10;FLORESTA;CAMARONES;4090;-3,46E+14;-5,85E+14;App BA 147;Masculino;Cerrado;07/01/2021;9:42:56
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;06/01/2021;13:18:23;14;PALERMO;LACROZE, FEDERICO;1721;-3,46E+14;-5,84E+14;GCS Web;Masculino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;07/01/2021;14:48:53;11;VILLA DEVOTO;CALDERON DE LA BARCA, PEDRO;2313;-3,46E+14;-5,85E+14;GCS Web;Femenino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;07/01/2021;12:00:26;11;VILLA DEVOTO;MARTINEZ, MATEO J.;5226;-3,46E+14;-5,85E+13;GCS Web;Femenino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;05/01/2021;22:23:40;10;FLORESTA;CAMARONES;4060;-3,46E+14;-5,85E+14;App BA 147;Masculino;Cerrado;07/01/2021;9:42:40
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;07/01/2021;12:44:11;11;VILLA DEVOTO;CALDERON DE LA BARCA, PEDRO;2812;-3,46E+13;-5,85E+14;GCS Web;Femenino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;07/01/2021;14:18:20;10;MONTE CASTRO;CALDERON DE LA BARCA, PEDRO;;-3,46E+14;-5,85E+14;GCS Web;Femenino;Abierto;;
